,Timestamp,Message
72455,2024-07-05 08:42:35, ------ Logger Start  ------
72456,2024-07-05 08:42:38, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72457,2024-07-05 08:42:38, Set program coordinate 0 zero point at(185.810 * 88.104)(WCS)
72458,2024-07-05 08:42:38, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72459,2024-07-05 08:42:38," Initial Breakpoint, Process Mode:0"
72460,2024-07-05 08:42:52, TBCSShmThread wait for RTOS Run OK
72461,2024-07-05 08:42:52, TBCSShmThread RTOS Run OK
72462,2024-07-05 08:42:52, Enable BLT420
72463,2024-07-05 08:42:52,\b Gas sensor malfunction
72464,2024-07-05 08:42:52,\b \u20445?\u25252?\u38236?\u25277?\u23625?\u27668?\u21387?\u20256?\u24863?\u22120?\u22833?\u25928?
72465,2024-07-05 08:42:52, Bcs100E Params Initialize
72466,2024-07-05 08:42:53, CutSystem.RestoreState
72467,2024-07-05 08:42:53, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72468,2024-07-05 08:42:53, MachineCfg\u20445?\u23384?\u21040?\u25991?\u20214?
72469,2024-07-05 08:42:53, AppStart
72470,2024-07-05 08:42:53, Handset USB detected!
72471,2024-07-05 08:42:53, NC module initialized!
72472,2024-07-05 08:42:53, Cmd ready:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
72473,2024-07-05 08:42:53, Cmd ready:Modify Pressure
72474,2024-07-05 08:42:53, Cmd ready:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
72475,2024-07-05 08:42:53, Cmd ready:Modify Pressure
72476,2024-07-05 08:42:53, Maintenance reminder: Items need maintenance. Go to Maintenance module to maintain it!!
72477,2024-07-05 08:42:54, Rebuilding Model...
72478,2024-07-05 08:42:54, Completed
72479,2024-07-05 08:42:54, Open File: C:\\Users\\CypTronic_Pro\\Desktop\\Compartida\\WORK\\L_01443.NC
72480,2024-07-05 08:42:54, Current page:Plate Properties
72481,2024-07-05 08:43:03, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72482,2024-07-05 08:43:08, Command: \u26356?\u25913?\u26495?\u26448?\u21402?\u24230?
72483,2024-07-05 08:43:08, *Cancel*
72484,2024-07-05 08:43:08, Current page:FACut Laser Cutting System for Bevel
72485,2024-07-05 08:43:14, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72486,2024-07-05 08:43:18, Current page:Return Origin
72487,2024-07-05 08:43:22, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72488,2024-07-05 08:43:22, Cmd ready:Return Origin
72489,2024-07-05 08:43:24, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72490,2024-07-05 08:47:53, MachineCfg\u20445?\u23384?\u21040?\u25991?\u20214?
72491,2024-07-05 08:47:59, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72492,2024-07-05 08:52:35, Maintenance reminder: Items need maintenance. Go to Maintenance module to maintain it!!
72493,2024-07-05 08:52:44, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72494,2024-07-05 08:57:11,\b Alarm:frente
72495,2024-07-05 08:57:11, NewAlarm
72496,2024-07-05 08:57:13,0 Clear Alarm:frente
72497,2024-07-05 08:57:20, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72498,2024-07-05 08:57:51,\b Alarm:frente
72499,2024-07-05 08:57:51, NewAlarm
72500,2024-07-05 08:57:53,0 Clear Alarm:frente
72501,2024-07-05 08:58:00, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72502,2024-07-05 08:59:06, Current page:FACut Laser Cutting System for BevelL_01443.NC
72503,2024-07-05 08:59:12, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72504,2024-07-05 08:59:22, Command: Delete
72505,2024-07-05 08:59:32, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72506,2024-07-05 08:59:42, Handset V1.29
72507,2024-07-05 08:59:42, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
72508,2024-07-05 08:59:42, Cmd ready:Y + jog
72509,2024-07-05 08:59:42, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72510,2024-07-05 08:59:44, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
72511,2024-07-05 08:59:44, Cmd ready:Stop Y positive jog
72512,2024-07-05 08:59:45, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: X + jog
72513,2024-07-05 08:59:45, Cmd ready:X + jog
72514,2024-07-05 08:59:46, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop X positive jog
72515,2024-07-05 08:59:46, Cmd ready:Stop X positive jog
72516,2024-07-05 08:59:47, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
72517,2024-07-05 08:59:47, Cmd ready:Y + jog
72518,2024-07-05 08:59:53, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72519,2024-07-05 09:00:17, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
72520,2024-07-05 09:00:17, Cmd ready:Stop Y positive jog
72521,2024-07-05 09:00:19, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
72522,2024-07-05 09:00:19, Cmd ready:Y + jog
72523,2024-07-05 09:00:19, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
72524,2024-07-05 09:00:19, Cmd ready:Stop Y positive jog
72525,2024-07-05 09:00:22, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
72526,2024-07-05 09:00:22, Cmd ready:Y + jog
72527,2024-07-05 09:00:22, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
72528,2024-07-05 09:00:22, Cmd ready:Stop Y positive jog
72529,2024-07-05 09:00:24, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72530,2024-07-05 09:02:23, Current page:Plate Properties
72531,2024-07-05 09:02:25, Command: \u26356?\u25913?\u26495?\u26448?\u21402?\u24230?
72532,2024-07-05 09:02:25, *Cancel*
72533,2024-07-05 09:02:25, Current page:FACut Laser Cutting System for BevelL_01443.NC
72534,2024-07-05 09:02:26, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72535,2024-07-05 09:02:28, Command: Measure Length
72536,2024-07-05 09:02:28, Specify startpoint:
72537,2024-07-05 09:02:30," (1203.2461, 11472.8218)"
72538,2024-07-05 09:02:30, Specify measure endpoint:
72539,2024-07-05 09:02:34, *Cancel*
72540,2024-07-05 09:02:35, Maintenance reminder: Items need maintenance. Go to Maintenance module to maintain it!!
72541,2024-07-05 09:02:37, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72542,2024-07-05 09:02:37, Current page:Auto FindEdge
72543,2024-07-05 09:02:47, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
72544,2024-07-05 09:02:48, Current page:FACut Laser Cutting System for BevelL_01443.NC
72545,2024-07-05 09:02:52, Current page:Zero Ref
72546,2024-07-05 09:02:55, Command: Set Home Reference
72547,2024-07-05 09:02:55," New zero reference:(0.8800, 11969.1100)"
72548,2024-07-05 09:02:55, Make the nozzle point as ORG. Coordinate system
72549,2024-07-05 09:02:55, Current page:FACut Laser Cutting System for BevelL_01443.NC
72550,2024-07-05 09:02:55, Cmd ready:Set User Coordinate System
